step,phase,macrophage_health,bacteria_count,neutrophil_count,tissue_damage,host_utility,colonized_compartments,chemokine_peak,nutrient_total
25,detection_containment,115,2,0,5.000000000000002,-4.000000000000002,1,5.074735347333651,4576.757824593199
26,detection_containment,110,2,0,5.200000000000002,-4.200000000000002,1,4.359533879911246,4626.585577544671
27,detection_containment,110,2,0,5.400000000000002,-4.400000000000002,1,4.532004788837013,4675.260161508337
28,detection_containment,105,2,0,5.600000000000002,-4.600000000000002,1,3.8802523532113393,4723.451736600016
29,detection_containment,100,2,0,5.8000000000000025,-4.8000000000000025,1,4.086815811136764,4770.212686874207
30,detection_containment,95,2,0,6.000000000000003,-5.000000000000003,1,3.5511283119144528,4815.87915829637
31,detection_containment,95,2,0,6.200000000000003,-5.200000000000003,1,3.7723626620935993,4860.203422475347
32,detection_containment,95,2,0,6.400000000000003,-5.400000000000003,1,3.2713452716279123,4904.04717576208
33,detection_containment,95,2,0,6.600000000000003,-5.600000000000003,1,3.5519262080918312,4945.865588793783
34,detection_containment,95,2,0,6.800000000000003,-5.800000000000003,1,3.1764468930635763,4986.67549720792
35,detection_containment,95,2,0,7.0000000000000036,-6.0000000000000036,1,3.4120352158338645,5024.984408428203
36,detection_containment,95,2,0,7.200000000000004,-6.200000000000004,1,3.198171822546434,5063.150394846491
37,detection_containment,95,2,0,7.400000000000004,-6.400000000000004,1,3.336477186338299,5100.412397067911
38,detection_containment,95,2,0,7.600000000000004,-6.600000000000004,1,5.722347904070771,5135.495017354026
39,detection_containment,85,2,0,7.800000000000004,-6.800000000000004,1,4.892065997439538,5169.231625380842
40,detection_containment,85,2,0,8.000000000000004,-7.0000000000000036,1,4.200807948825038,5202.164732801761
41,detection_containment,85,2,0,8.200000000000003,-7.200000000000003,1,3.625495672886915,5233.58330149858
42,detection_containment,85,2,0,8.400000000000002,-7.400000000000002,1,3.5078402889526306,5264.157509112598
43,detection_containment,85,1,0,8.500000000000002,-6.500000000000002,1,5.060680431748637,5293.999013123184
44,detection_containment,85,1,0,8.600000000000001,-6.600000000000001,1,4.308431440683719,5322.252401413881
45,detection_containment,85,1,0,8.700000000000001,-6.700000000000001,1,3.6747243610089324,5349.850266618672
46,detection_containment,85,1,0,8.8,-6.800000000000001,1,3.1348704182310927,5376.675656983455
47,detection_containment,85,1,0,8.9,-6.9,1,2.649999832418549,5402.883027231135
48,detection_containment,85,1,0,9.0,-7.0,1,2.2826954422643224,5427.41853272811
49,detection_containment,85,1,0,9.1,-7.1,1,1.9628394929505468,5450.336084191518
50,detection_containment,85,1,0,9.2,-7.199999999999999,1,1.628514363451263,5471.660717049617
51,detection_containment,85,1,0,9.299999999999999,-7.299999999999999,1,1.4053063051937635,5491.43415754657
52,detection_containment,85,1,0,9.399999999999999,-7.399999999999999,1,1.7748584692651872,5508.813192959722
53,detection_containment,85,1,0,9.499999999999998,-7.499999999999998,1,1.5181385882844034,5524.442693536389
54,detection_containment,80,1,0,9.599999999999998,-7.599999999999998,1,1.3581344992648936,5538.76627356589
55,detection_containment,80,1,0,9.699999999999998,-7.6999999999999975,1,1.470970604976382,5551.710912721028
56,detection_containment,80,1,0,9.799999999999997,-7.799999999999997,1,4.083563803482038,5563.448450980339
57,detection_containment,80,1,0,9.899999999999997,-7.899999999999997,1,3.4862111526263995,5574.141488345247
58,detection_containment,75,1,0,9.999999999999996,-7.9999999999999964,1,3.7273256376317354,5583.997559546808
59,detection_containment,75,1,0,10.099999999999996,-8.099999999999996,1,3.1875330983543675,5592.609405596219
60,detection_containment,70,1,0,10.199999999999996,-8.199999999999996,1,3.474808294827074,5600.006402552084
61,detection_containment,65,1,0,10.299999999999995,-8.299999999999995,1,2.9457525786761103,5606.877295701968
62,detection_containment,60,1,0,10.399999999999995,-8.399999999999995,1,3.264346172822778,5613.16709185183
63,detection_containment,60,0,0,10.399999999999995,-7.399999999999995,0,4.932971346579211,5619.4451112251145
